Week of,Weekly Imports, , , 
5/11/2007,14591,,,
5/4/2007,14581,,,
4/27/2007,13782,,,
4/20/2007,13713,,,
4/13/2007,13451,,,
4/6/2007,13225,,,
3/30/2007,13701,,,
3/23/2007,13440,,,
3/16/2007,13787,,,
3/9/2007,13481,,,
3/2/2007,11610,,,
2/23/2007,12951,,,
2/16/2007,13082,,,
2/9/2007,12838,,,
2/2/2007,12780,,,
1/26/2007,13573,,,
1/19/2007,13232,,,
1/12/2007,14324,,,
1/5/2007,13041,,,
12/29/2006,13125,,,
12/22/2006,12106,,,
12/15/2006,11764,,,
12/8/2006,12915,,,
12/1/2006,13215,,,
11/24/2006,12755,,,
11/17/2006,13684,,,
11/10/2006,12406,,,
11/3/2006,12697,,,
10/27/2006,13282,,,
10/20/2006,12721,,,
10/13/2006,13277,,,
10/6/2006,13384,,,
9/29/2006,13216,,,
9/22/2006,14781,,,
9/15/2006,13923,,,
9/8/2006,14086,,,
9/1/2006,13698,,,
8/25/2006,14831,,,
8/18/2006,14574,,,
8/11/2006,13851,,,
8/4/2006,13596,,,
7/28/2006,15012,,,
7/21/2006,13932,,,
7/14/2006,14139,,,
7/7/2006,13268,,,
6/30/2006,13827,,,
6/23/2006,13648,,,
6/16/2006,14724,,,
6/9/2006,14323,,,
6/2/2006,14470,,,
5/26/2006,15119,,,
5/19/2006,13748,,,
5/12/2006,13869,,,
5/5/2006,14246,,,
4/28/2006,12737,,,
4/21/2006,13806,,,
4/14/2006,12501,,,
4/7/2006,12727,,,
3/31/2006,12736,,,
3/24/2006,13129,,,
3/17/2006,12632,,,
3/10/2006,13261,,,
3/3/2006,13121,,,
2/24/2006,13268,,,
2/17/2006,13799,,,
2/10/2006,14340,,,
2/3/2006,13364,,,
1/27/2006,12914,,,
1/20/2006,13061,,,
1/13/2006,14078,,,
1/6/2006,13754,,,
12/30/2005,13166,,,
12/23/2005,13663,,,
12/16/2005,13544,,,
12/9/2005,14648,,,
12/2/2005,13884,,,
11/25/2005,13465,,,
11/18/2005,13798,,,
11/11/2005,13768,,,
11/4/2005,15217,,,
10/28/2005,14087,,,
10/21/2005,14263,,,
10/14/2005,14175,,,
10/7/2005,13033,,,
9/30/2005,12665,,,
9/23/2005,13294,,,
9/16/2005,13704,,,
9/9/2005,12601,,,
9/2/2005,12435,,,
8/26/2005,14124,,,
8/19/2005,14040,,,
8/12/2005,13333,,,
8/5/2005,14485,,,
7/29/2005,14183,,,
7/22/2005,12918,,,
7/15/2005,13927,,,
7/8/2005,12993,,,
7/1/2005,13814,,,
6/24/2005,13834,,,
6/17/2005,13134,,,
6/10/2005,13709,,,
6/3/2005,12969,,,
5/27/2005,13687,,,
5/20/2005,13633,,,
5/13/2005,13891,,,
5/6/2005,13340,,,
4/29/2005,13331,,,
4/22/2005,13815,,,
4/15/2005,12634,,,
4/8/2005,12786,,,
4/1/2005,12365,,,
3/25/2005,13516,,,
3/18/2005,13412,,,
3/11/2005,12886,,,
3/4/2005,13037,,,
2/25/2005,13370,,,
2/18/2005,12886,,,
2/11/2005,13286,,,
2/4/2005,13059,,,
1/28/2005,12936,,,
1/21/2005,13405,,,
1/14/2005,12752,,,
1/7/2005,12144,,,
12/31/2004,12647,,,
12/24/2004,12461,,,
12/17/2004,13086,,,
12/10/2004,12907,,,
12/3/2004,14018,,,
11/26/2004,12974,,,
11/19/2004,12944,,,
11/12/2004,13300,,,
11/5/2004,13398,,,
10/29/2004,13407,,,
10/22/2004,13179,,,
10/15/2004,13146,,,
10/8/2004,13122,,,
10/1/2004,13282,,,
9/24/2004,13231,,,
9/17/2004,11175,,,
9/10/2004,12445,,,
9/3/2004,13490,,,
8/27/2004,13141,,,
8/20/2004,13476,,,
8/13/2004,13044,,,
8/6/2004,12523,,,
7/30/2004,13228,,,
7/23/2004,14364,,,
7/16/2004,12286,,,
7/9/2004,12599,,,
7/2/2004,12833,,,
6/25/2004,13532,,,
6/18/2004,12743,,,
6/11/2004,12643,,,
6/4/2004,13145,,,
5/28/2004,13714,,,
5/21/2004,13004,,,
5/14/2004,12986,,,
5/7/2004,12679,,,
4/30/2004,12137,,,
4/23/2004,13160,,,
4/16/2004,12941,,,
4/9/2004,12112,,,
4/2/2004,12810,,,
3/26/2004,12938,,,
3/19/2004,12773,,,
3/12/2004,12486,,,
3/5/2004,13073,,,
2/27/2004,12575,,,
2/20/2004,12623,,,
2/13/2004,13119,,,
2/6/2004,10643,,,
1/30/2004,13188,,,
1/23/2004,11234,,,
1/16/2004,12604,,,
1/9/2004,11634,,,
1/2/2004,12078,,,
12/26/2003,11899,,,
12/19/2003,11756,,,
12/12/2003,11198,,,
12/5/2003,11474,,,
11/28/2003,12032,,,
11/21/2003,11555,,,
11/14/2003,12391,,,
11/7/2003,12314,,,
10/31/2003,12632,,,
10/24/2003,12305,,,
10/17/2003,11558,,,
10/10/2003,12371,,,
10/3/2003,12474,,,
9/26/2003,12123,,,
9/19/2003,12988,,,
9/12/2003,13334,,,
9/5/2003,12037,,,
8/29/2003,13226,,,
8/22/2003,12666,,,
8/15/2003,12779,,,
8/8/2003,12243,,,
8/1/2003,13022,,,
7/25/2003,12915,,,
7/18/2003,11970,,,
7/11/2003,12432,,,
7/4/2003,12250,,,
6/27/2003,12259,,,
6/20/2003,12175,,,
6/13/2003,13187,,,
6/6/2003,12656,,,
5/30/2003,13079,,,
5/23/2003,12679,,,
5/16/2003,12914,,,
5/9/2003,11445,,,
5/2/2003,12578,,,
4/25/2003,12138,,,
4/18/2003,12920,,,
4/11/2003,11819,,,
4/4/2003,11457,,,
3/28/2003,12719,,,
3/21/2003,13064,,,
3/14/2003,11613,,,
3/7/2003,9840,,,
2/28/2003,11550,,,
2/21/2003,10602,,,
2/14/2003,11039,,,
2/7/2003,9777,,,
1/31/2003,10450,,,
1/24/2003,11211,,,
1/17/2003,10841,,,
1/10/2003,11097,,,
1/3/2003,10569,,,
12/27/2002,9847,,,
12/20/2002,11554,,,
12/13/2002,11822,,,
12/6/2002,12288,,,
11/29/2002,12176,,,
11/22/2002,11831,,,
11/15/2002,11988,,,
11/8/2002,11465,,,
11/1/2002,11840,,,
10/25/2002,11442,,,
10/18/2002,11909,,,
10/11/2002,11315,,,
10/4/2002,10870,,,
9/27/2002,10722,,,
9/20/2002,10967,,,
9/13/2002,10664,,,
9/6/2002,10911,,,
8/30/2002,11349,,,
8/23/2002,11714,,,
8/16/2002,11512,,,
8/9/2002,11116,,,
8/2/2002,11093,,,
7/26/2002,11340,,,
7/19/2002,11316,,,
7/12/2002,11312,,,
7/5/2002,10159,,,
6/28/2002,12022,,,
6/21/2002,11800,,,
6/14/2002,11198,,,
6/7/2002,10868,,,
5/31/2002,11055,,,
5/24/2002,11438,,,
5/17/2002,12141,,,
5/10/2002,11010,,,
5/3/2002,11868,,,
4/26/2002,11739,,,
4/19/2002,11438,,,
4/12/2002,10500,,,
4/5/2002,11493,,,
3/29/2002,11529,,,
3/22/2002,10061,,,
3/15/2002,10398,,,
3/8/2002,10178,,,
3/1/2002,10433,,,
2/22/2002,10043,,,
2/15/2002,10533,,,
2/8/2002,11205,,,
2/1/2002,10799,,,
1/25/2002,10828,,,
1/18/2002,11031,,,
1/11/2002,10545,,,
1/4/2002,10995,,,
12/28/2001,10290,,,
12/21/2001,10756,,,
12/14/2001,11119,,,
12/7/2001,10815,,,
11/30/2001,12104,,,
11/23/2001,10553,,,
11/16/2001,11220,,,
11/9/2001,11749,,,
11/2/2001,11701,,,
10/26/2001,11452,,,
10/19/2001,11495,,,
10/12/2001,11117,,,
10/5/2001,11744,,,
9/28/2001,11862,,,
9/21/2001,11053,,,
9/14/2001,10579,,,
9/7/2001,11261,,,
8/31/2001,10502,,,
8/24/2001,11468,,,
8/17/2001,10972,,,
8/10/2001,10278,,,
8/3/2001,11134,,,
7/27/2001,11285,,,
7/20/2001,11993,,,
7/13/2001,12094,,,
7/6/2001,10857,,,
6/29/2001,11825,,,
6/22/2001,11419,,,
6/15/2001,10998,,,
6/8/2001,10764,,,
6/1/2001,11831,,,
5/25/2001,11326,,,
5/18/2001,12676,,,
5/11/2001,11204,,,
5/4/2001,12316,,,
4/27/2001,12908,,,
4/20/2001,11580,,,
4/13/2001,11907,,,
4/6/2001,11479,,,
3/30/2001,11370,,,
3/23/2001,12145,,,
3/16/2001,11253,,,
3/9/2001,12854,,,
3/2/2001,11754,,,
2/23/2001,11808,,,
2/16/2001,10204,,,
2/9/2001,11558,,,
2/2/2001,12277,,,
1/26/2001,11859,,,
1/19/2001,10365,,,
1/12/2001,11345,,,
1/5/2001,12962,,,
12/29/2000,11442,,,
12/22/2000,10280,,,
12/15/2000,12405,,,
12/8/2000,10912,,,
12/1/2000,10980,,,
11/24/2000,9998,,,
11/17/2000,10592,,,
11/10/2000,10975,,,
11/3/2000,11907,,,
10/27/2000,11218,,,
10/20/2000,12098,,,
10/13/2000,10959,,,
10/6/2000,11194,,,
9/29/2000,11166,,,
9/22/2000,11795,,,
9/15/2000,10823,,,
9/8/2000,11531,,,
9/1/2000,11583,,,
8/25/2000,11043,,,
8/18/2000,11239,,,
8/11/2000,11582,,,
8/4/2000,11679,,,
7/28/2000,10883,,,
7/21/2000,11766,,,
7/14/2000,11068,,,
7/7/2000,11599,,,
6/30/2000,10876,,,
6/23/2000,11777,,,
6/16/2000,11283,,,
6/9/2000,10892,,,
6/2/2000,11048,,,
5/26/2000,10717,,,
5/19/2000,11933,,,
5/12/2000,10517,,,
5/5/2000,11330,,,
4/28/2000,11117,,,
4/21/2000,11515,,,
4/14/2000,11006,,,
4/7/2000,10799,,,
3/31/2000,11113,,,
3/24/2000,10150,,,
3/17/2000,10755,,,
3/10/2000,10160,,,
3/3/2000,10664,,,
2/25/2000,10220,,,
2/18/2000,10711,,,
2/11/2000,10242,,,
2/4/2000,10279,,,
1/28/2000,9457,,,
1/21/2000,10558,,,
1/14/2000,9229,,,
1/7/2000,10306,,,
12/31/1999,10030,,,
12/24/1999,10081,,,
12/17/1999,9696,,,
12/10/1999,9196,,,
12/3/1999,10303,,,
11/26/1999,9412,,,
11/19/1999,9777,,,
11/12/1999,10297,,,
11/5/1999,9913,,,
10/29/1999,10742,,,
10/22/1999,10008,,,
10/15/1999,11081,,,
10/8/1999,9925,,,
10/1/1999,10860,,,
9/24/1999,10514,,,
9/17/1999,10819,,,
9/10/1999,10000,,,
9/3/1999,10162,,,
8/27/1999,11219,,,
8/20/1999,10838,,,
8/13/1999,10432,,,
8/6/1999,10396,,,
7/30/1999,11364,,,
7/23/1999,11547,,,
7/16/1999,10919,,,
7/9/1999,10075,,,
7/2/1999,11219,,,
6/25/1999,10341,,,
6/18/1999,11280,,,
6/11/1999,10412,,,
6/4/1999,9927,,,
5/28/1999,11414,,,
5/21/1999,10591,,,
5/14/1999,10921,,,
